Model,Accuracy,Precision,Recall,F1,ROC-AUC
Naive Bayes,0.957507425592532,0.9727523706637858,0.9447423641874563,0.9585427878644509,0.987509771573578
CNN,0.9863005394920289,0.9837812789620018,0.9899743529960364,0.9868680999418943,0.9991214232492892
